,Hostname,Application,Utilization(bps),Timestamp
782,vdevice-host-name,dns,244.75,18-01-2019 18:15
784,vdevice-host-name,dns,288.75,18-01-2019 18:20
793,vdevice-host-name,dns,265.875,18-01-2019 18:25
804,vdevice-host-name,dns,174.75,18-01-2019 18:30
811,vdevice-host-name,dns,180.75,18-01-2019 18:35
812,vdevice-host-name,dns,217.5,18-01-2019 18:40
825,vdevice-host-name,dns,206.75,18-01-2019 18:45
830,vdevice-host-name,dns,52.5,18-01-2019 18:50
834,vdevice-host-name,dns,180.75,18-01-2019 18:55
846,vdevice-host-name,dns,101.75,18-01-2019 19:00
848,vdevice-host-name,dns,52.5,18-01-2019 19:05
857,vdevice-host-name,dns,275.75,18-01-2019 19:10
864,vdevice-host-name,dns,119.25,18-01-2019 19:15
871,vdevice-host-name,dns,924.375,18-01-2019 19:20
877,vdevice-host-name,dns,236.625,18-01-2019 19:25
888,vdevice-host-name,dns,174.75,18-01-2019 19:30
893,vdevice-host-name,dns,192.5,18-01-2019 19:35
896,vdevice-host-name,dns,281.25,18-01-2019 19:40
907,vdevice-host-name,dns,174.75,18-01-2019 19:45
914,vdevice-host-name,dns,210,18-01-2019 19:50
920,vdevice-host-name,dns,75.75,18-01-2019 19:55
927,vdevice-host-name,dns,101.75,18-01-2019 20:00
935,vdevice-host-name,dns,52.5,18-01-2019 20:05
938,vdevice-host-name,dns,217.5,18-01-2019 20:10
945,vdevice-host-name,dns,177.5,18-01-2019 20:15
955,vdevice-host-name,dns,52.5,18-01-2019 20:20
962,vdevice-host-name,dns,529.375,18-01-2019 20:25
969,vdevice-host-name,dns,125,18-01-2019 20:30
978,vdevice-host-name,dns,87.5,18-01-2019 20:35
985,vdevice-host-name,dns,325.5,18-01-2019 20:40
993,vdevice-host-name,dns,177.5,18-01-2019 20:45
996,vdevice-host-name,dns,87.5,18-01-2019 20:50
1005,vdevice-host-name,dns,143,18-01-2019 20:55
1010,vdevice-host-name,dns,212.5,18-01-2019 21:00
1020,vdevice-host-name,dns,52.5,18-01-2019 21:05
1026,vdevice-host-name,dns,235,18-01-2019 21:10
1033,vdevice-host-name,dns,195,18-01-2019 21:15
1040,vdevice-host-name,dns,70,18-01-2019 21:20
1045,vdevice-host-name,dns,213.375,18-01-2019 21:25
1050,vdevice-host-name,dns,195,18-01-2019 21:30
1060,vdevice-host-name,dns,52.5,18-01-2019 21:35
1069,vdevice-host-name,dns,258,18-01-2019 21:40
1072,vdevice-host-name,dns,247.5,18-01-2019 21:45
1079,vdevice-host-name,dns,108,18-01-2019 21:50
1089,vdevice-host-name,dns,160.5,18-01-2019 21:55
1098,vdevice-host-name,dns,52.5,18-01-2019 22:00
1099,vdevice-host-name,dns,265,18-01-2019 22:05
1106,vdevice-host-name,dns,252.5,18-01-2019 22:10
1119,vdevice-host-name,dns,160.5,18-01-2019 22:15
1126,vdevice-host-name,dns,177.5,18-01-2019 22:20
1130,vdevice-host-name,dns,265.875,18-01-2019 22:25
1134,vdevice-host-name,dns,122.5,18-01-2019 22:30
1145,vdevice-host-name,dns,125,18-01-2019 22:35
1151,vdevice-host-name,dns,217.5,18-01-2019 22:40
1157,vdevice-host-name,dns,157.5,18-01-2019 22:45
1162,vdevice-host-name,dns,300,18-01-2019 22:50
1169,vdevice-host-name,dns,52.5,18-01-2019 22:55
1180,vdevice-host-name,dns,52.5,18-01-2019 23:00
1183,vdevice-host-name,dns,142.5,18-01-2019 23:05
1193,vdevice-host-name,dns,252.5,18-01-2019 23:10
1203,vdevice-host-name,dns,52.5,18-01-2019 23:15
1207,vdevice-host-name,dns,320.5,18-01-2019 23:20
1211,vdevice-host-name,dns,283.375,18-01-2019 23:25
1223,vdevice-host-name,dns,178,18-01-2019 23:30
1229,vdevice-host-name,dns,160,18-01-2019 23:35
1238,vdevice-host-name,dns,325.5,18-01-2019 23:40
1240,vdevice-host-name,dns,52.5,18-01-2019 23:45
1248,vdevice-host-name,dns,125,18-01-2019 23:50
1256,vdevice-host-name,dns,248,18-01-2019 23:55
1261,vdevice-host-name,dns,125.5,19-01-2019 0:00
1273,vdevice-host-name,dns,177.5,19-01-2019 0:05
1277,vdevice-host-name,dns,275.5,19-01-2019 0:10
1281,vdevice-host-name,dns,52.5,19-01-2019 0:15
1289,vdevice-host-name,dns,177.5,19-01-2019 0:20
1295,vdevice-host-name,dns,321.375,19-01-2019 0:25
1302,vdevice-host-name,dns,122.5,19-01-2019 0:30
1314,vdevice-host-name,dns,195,19-01-2019 0:35
1317,vdevice-host-name,dns,217.5,19-01-2019 0:40
1323,vdevice-host-name,dns,140,19-01-2019 0:45
1335,vdevice-host-name,dns,125,19-01-2019 0:50
1341,vdevice-host-name,dns,52.5,19-01-2019 0:55
1350,vdevice-host-name,dns,140,19-01-2019 1:00
1354,vdevice-host-name,dns,125,19-01-2019 1:05
1362,vdevice-host-name,dns,343,19-01-2019 1:10
1365,vdevice-host-name,dns,105,19-01-2019 1:15
1376,vdevice-host-name,dns,171.75,19-01-2019 1:20
1379,vdevice-host-name,dns,265.625,19-01-2019 1:25
1390,vdevice-host-name,dns,160.5,19-01-2019 1:30
1396,vdevice-host-name,dns,87.5,19-01-2019 1:35
1405,vdevice-host-name,dns,430,19-01-2019 1:40
1408,vdevice-host-name,dns,70,19-01-2019 1:45
1417,vdevice-host-name,dns,105,19-01-2019 1:50
1426,vdevice-host-name,dns,142.5,19-01-2019 1:55
1432,vdevice-host-name,dns,52.5,19-01-2019 2:00
1441,vdevice-host-name,dns,52.5,19-01-2019 2:05
1446,vdevice-host-name,dns,266.75,19-01-2019 2:10
1451,vdevice-host-name,dns,110.75,19-01-2019 2:15
1462,vdevice-host-name,dns,87.5,19-01-2019 2:20
1466,vdevice-host-name,dns,262.625,19-01-2019 2:25
1475,vdevice-host-name,dns,201.25,19-01-2019 2:30
1481,vdevice-host-name,dns,210,19-01-2019 2:35
1490,vdevice-host-name,dns,394.75,19-01-2019 2:40
1491,vdevice-host-name,dns,128.25,19-01-2019 2:45
1501,vdevice-host-name,dns,303.5,19-01-2019 2:50
1507,vdevice-host-name,dns,154.25,19-01-2019 2:55
1516,vdevice-host-name,dns,215.75,19-01-2019 3:00
1520,vdevice-host-name,dns,52.5,19-01-2019 3:05
1528,vdevice-host-name,dns,355.25,19-01-2019 3:10
1537,vdevice-host-name,dns,122.5,19-01-2019 3:15
1541,vdevice-host-name,dns,75.75,19-01-2019 3:20
1553,vdevice-host-name,dns,361.625,19-01-2019 3:25
1558,vdevice-host-name,dns,248,19-01-2019 3:30
1565,vdevice-host-name,dns,93.25,19-01-2019 3:35
1572,vdevice-host-name,dns,284.25,19-01-2019 3:40
1577,vdevice-host-name,dns,181,19-01-2019 3:45
1582,vdevice-host-name,dns,250.75,19-01-2019 3:50
1593,vdevice-host-name,dns,171.75,19-01-2019 3:55
1602,vdevice-host-name,dns,122.5,19-01-2019 4:00
1609,vdevice-host-name,dns,166.25,19-01-2019 4:05
1616,vdevice-host-name,dns,266.75,19-01-2019 4:10
1617,vdevice-host-name,dns,122.5,19-01-2019 4:15
1627,vdevice-host-name,dns,52.5,19-01-2019 4:20
1635,vdevice-host-name,dns,390.875,19-01-2019 4:25
1643,vdevice-host-name,dns,160.5,19-01-2019 4:30
1648,vdevice-host-name,dns,105,19-01-2019 4:35
1653,vdevice-host-name,dns,377.5,19-01-2019 4:40
1663,vdevice-host-name,dns,265.5,19-01-2019 4:45
1671,vdevice-host-name,dns,140,19-01-2019 4:50
1678,vdevice-host-name,dns,195,19-01-2019 4:55
1682,vdevice-host-name,dns,35,19-01-2019 5:00
1689,vdevice-host-name,dns,125.5,19-01-2019 5:05
1694,vdevice-host-name,dns,303,19-01-2019 5:10
1706,vdevice-host-name,dns,305,19-01-2019 5:15
1714,vdevice-host-name,dns,248,19-01-2019 5:20
1716,vdevice-host-name,dns,478.625,19-01-2019 5:25
1722,vdevice-host-name,dns,332.25,19-01-2019 5:30
1731,vdevice-host-name,dns,140,19-01-2019 5:35
1740,vdevice-host-name,dns,436.25,19-01-2019 5:40
1745,vdevice-host-name,dns,101.75,19-01-2019 5:45
1756,vdevice-host-name,dns,262.5,19-01-2019 5:50
1758,vdevice-host-name,dns,306.75,19-01-2019 5:55
1767,vdevice-host-name,dns,311.75,19-01-2019 6:00
1774,vdevice-host-name,dns,52.5,19-01-2019 6:05
1778,vdevice-host-name,dns,285.75,19-01-2019 6:10
