Timestamp,Utilization(bps),SMA3,EMA3,SMA7,EMA7
2019-01-18 08:55:00,105.0,105.0,105.0,105.0,105.0
2019-01-18 09:00:00,212.5,212.5,212.5,212.5,212.5
2019-01-18 09:05:00,105.0,105.0,135.71428571428572,105.0,105.0
2019-01-18 09:10:00,340.0,219.16666666666666,244.66666666666666,340.0,340.0
2019-01-18 09:15:00,142.5,195.83333333333334,191.93548387096774,142.5,142.5
2019-01-18 09:20:00,157.5,213.33333333333334,174.44444444444446,157.5,157.5
2019-01-18 09:25:00,521.625,273.875,349.40157480314963,226.30357142857142,278.610340212721
2019-01-18 09:30:00,163.25,280.7916666666667,255.9607843137255,234.625,246.56178041543026
2019-01-18 09:35:00,154.25,279.7083333333333,205.00587084148728,226.30357142857142,221.61036620322443
2019-01-18 09:40:00,398.5,238.66666666666666,301.8475073313783,268.23214285714283,268.47170112589146
2019-01-18 09:45:00,140.0,230.91666666666666,220.88422081094285,239.66071428571428,234.93745228279602
2019-01-18 09:50:00,160.0,232.83333333333334,190.43467643467645,242.16071428571428,215.59024010858207
2019-01-18 09:55:00,353.0,217.66666666666666,271.72726162861676,270.0892857142857,250.77866067931393
2019-01-18 10:00:00,213.0,242.0,242.36183849111885,226.0,241.16265807498337
2019-01-18 10:05:00,300.0,288.6666666666667,271.18179876094854,245.53571428571428,256.07122359021776
2019-01-18 10:10:00,343.0,285.3333333333333,307.0914473182269,272.5,278.02343584204885
2019-01-18 10:15:00,140.0,261.0,223.5450862509632,235.57142857142858,243.25623367180484
2019-01-18 10:20:00,185.25,222.75,204.39747008312258,242.03571428571428,228.67245614378854
2019-01-18 10:25:00,347.375,224.20833333333334,275.8863713958195,268.80357142857144,258.4741018875514
2019-01-18 10:30:00,230.5,254.375,253.19316405598073,251.30357142857142,251.45832790946338
2019-01-18 10:35:00,230.0,269.2916666666667,241.59657649830652,253.73214285714286,246.08095634341478
2019-01-18 10:40:00,328.0,262.8333333333333,284.79829854924645,257.73214285714283,266.5973144749769
2019-01-18 10:45:00,210.0,256.0,247.39914481629668,238.73214285714286,252.42903074648456
2019-01-18 10:50:00,250.5,262.8333333333333,248.94957250056103,254.51785714285714,251.94628868068529
2019-01-18 10:55:00,157.5,206.0,203.22478488757565,250.55357142857142,228.31693439452525
2019-01-18 11:00:00,122.5,176.83333333333334,162.8623918423413,218.42857142857142,201.8477613936553
2019-01-18 11:05:00,390.5,223.5,276.68119676918684,241.28571428571428,249.03079389161553
2019-01-18 11:10:00,270.0,261.0,273.3405983721487,247.0,254.27476026933655
2019-01-18 11:15:00,262.5,307.6666666666667,267.92029917597824,237.64285714285714,256.3315599454494
2019-01-18 11:25:00,426.125,319.5416666666667,347.02264966165893,268.51785714285717,298.78750182992894
2019-01-18 11:30:00,316.0,334.875,331.51132482360646,277.875,303.0912027953821
2019-01-18 11:35:00,276.75,339.625,304.13066240542815,294.9107142857143,296.5052405206504
2019-01-18 11:40:00,275.75,289.5,289.9403312010621,316.80357142857144,291.3160394396107
2019-01-18 11:45:00,262.5,271.6666666666667,276.2201655997324,298.51785714285717,284.11162249780676
2019-01-18 11:50:00,154.25,230.83333333333334,215.23508279809133,281.98214285714283,251.6448409841695
2019-01-18 11:55:00,236.25,217.66666666666666,225.74254139919856,278.23214285714283,247.79600840769726
2019-01-18 12:00:00,122.5,171.0,174.1212706992237,234.85714285714286,216.47125959168906
2019-01-18 12:05:00,376.25,245.0,275.1856353499795,243.46428571428572,256.41665885253923
2019-01-18 12:10:00,223.25,240.66666666666666,249.21781767494252,235.82142857142858,248.12488295680384
2019-01-18 12:15:00,251.0,283.5,250.10890883747206,232.28571428571428,248.84366944614044
2019-01-18 12:20:00,101.75,192.0,175.9294544187023,209.32142857142858,212.0699747212608
2019-01-18 12:25:00,373.625,242.125,274.7772272093736,240.66071428571428,252.45895951453227
2019-01-18 12:30:00,776.625,417.3333333333333,525.7011136047154,317.85714285714283,383.50102559783403
2019-01-18 12:35:00,721.625,623.9583333333334,623.6630568023633,403.44642857142856,468.0322881740127
2019-01-18 12:40:00,380.75,626.3333333333334,502.20652840117816,404.0892857142857,446.21166405613997
2019-01-18 12:45:00,0.0,367.4583333333333,251.10326420058553,372.19642857142856,334.65854837808047
2019-01-18 12:50:00,247.75,209.5,249.42663210029275,371.73214285714283,312.93138211718457
2019-01-18 12:55:00,180.75,142.83333333333334,215.08831605014626,383.01785714285717,279.88600331799745
2019-01-18 13:00:00,230.5,219.66666666666666,222.79415802507316,362.57142857142856,267.53949316570333
2019-01-18 13:05:00,101.75,171.0,162.27207901253652,266.1607142857143,226.0920964017191
2019-01-18 13:10:00,450.75,261.0,306.5110395062683,227.46428571428572,282.25659615666876
2019-01-18 13:15:00,125.5,226.0,216.00551975313414,191.0,243.06743463356173
2019-01-18 13:20:00,276.75,284.3333333333333,246.37775987656707,230.53571428571428,251.4880779870057
2019-01-18 13:25:00,433.875,278.7083333333333,340.12637993828355,257.125,297.08481666062954
2019-01-18 13:30:00,414.875,375.1666666666667,377.5006899691418,290.57142857142856,326.53236645295146
2019-01-18 13:35:00,174.75,341.1666666666667,276.1253449845709,282.60714285714283,288.58677101505987
2019-01-18 13:40:00,275.75,288.4583333333333,275.93767249228546,307.4642857142857,285.3775780186965
2019-01-18 13:45:00,210.0,220.16666666666666,242.96883624614273,273.07142857142856,266.5331824456185
2019-01-18 13:50:00,87.5,191.08333333333334,165.23441812307135,267.64285714285717,221.77488493099776
2019-01-18 13:55:00,209.75,169.08333333333334,187.49220906153568,258.07142857142856,218.76866360237523
