Timestamp,Utilization(bps),SMA4,SMA9,EMA4,EMA9,cum_sum
2019-01-18 08:55:00,2777.375,2777.375,2777.375,2777.375,2777.375,2777.375
2019-01-18 09:00:00,2783.375,2783.375,2783.375,2783.375,2783.375,5560.75
2019-01-18 09:05:00,2889.0,2889.0,2889.0,2889.0,2889.0,8449.75
2019-01-18 09:10:00,3313.25,2940.75,3313.25,3055.412683823529,3313.25,11763.0
2019-01-18 09:15:00,2231.375,2804.25,2231.375,2698.005638445524,2231.375,13994.375
2019-01-18 09:20:00,3276.5,2927.53125,3276.5,2940.72782961869,3276.5,17270.875
2019-01-18 09:25:00,2794.0,2903.78125,2794.0,2880.346404303511,2794.0,20064.875
2019-01-18 09:30:00,2890.375,2798.0625,2890.375,2884.4263703445263,2890.375,22955.25
2019-01-18 09:35:00,2792.0,2938.21875,2860.8055555555557,2847.079451310151,2859.079383801474,25747.25
2019-01-18 09:40:00,3341.0,2954.34375,2923.4305555555557,3045.8495576091923,2967.0575772833217,29088.25
2019-01-18 09:45:00,2804.625,2957.0,2925.7916666666665,2949.0083976883266,2931.518257503094,31892.875
2019-01-18 09:50:00,2821.5,2939.78125,2918.2916666666665,2897.893773201301,2907.8909497789946,34714.375
2019-01-18 09:55:00,2776.375,2935.875,2858.6388888888887,2849.2226961162573,2880.057605541759,37490.75
2019-01-18 10:00:00,2782.0,2796.125,2919.8194444444443,2822.3125297428187,2859.5438813000997,40272.75
2019-01-18 10:05:00,2800.0,2794.96875,2866.875,2813.3833194650947,2847.2008222580293,43072.75
2019-01-18 10:10:00,2790.0,2787.09375,2866.4305555555557,2804.0273522578786,2835.429319458797,45862.75
2019-01-18 10:15:00,3345.0,2929.25,2916.9444444444443,3020.4530449946883,2939.691224960878,49207.75
2019-01-18 10:20:00,2215.75,2787.6875,2852.9166666666665,2698.5391334339038,2792.246858391341,51423.5
2019-01-18 10:25:00,3312.125,2915.71875,2849.7083333333335,2943.988436752708,2897.742844095168,54735.625
2019-01-18 10:30:00,2785.375,2914.5625,2847.5694444444443,2880.5407423033894,2875.007150576334,57521.0
2019-01-18 10:35:00,2341.875,2663.78125,2794.277777777778,2665.0697186048224,2767.38811001169,59862.875
2019-01-18 10:40:00,2776.75,2804.03125,2794.3194444444443,2709.7424191525897,2769.27440642019,62639.625
2019-01-18 10:45:00,3772.5,2919.125,2904.375,3134.848808685192,2971.110957842973,66412.125
2019-01-18 10:50:00,2337.875,2807.25,2853.027777777778,2816.057774657629,2843.8628540942273,68750.0
2019-01-18 10:55:00,2850.375,2934.375,2859.7361111111113,2829.7847038206323,2845.1702223730945,71600.375
2019-01-18 11:00:00,2793.0,2938.4375,2798.402777777778,2815.0707971931433,2834.7045473365474,74393.375
2019-01-18 11:05:00,3371.375,2838.15625,2926.8055555555557,3037.5927060649165,2942.298784772594,77764.75
2019-01-18 11:10:00,2823.5,2959.5625,2872.5138888888887,2951.9555710496807,2918.4929806961477,80588.25
2019-01-18 11:15:00,2261.375,2812.3125,2814.2916666666665,2675.7232408502014,2786.865701207492,82849.625
2019-01-18 11:25:00,2839.375,2823.90625,2869.5694444444443,2741.1839589817782,2797.380577752677,85689.0
2019-01-18 11:30:00,3050.25,2743.625,2899.9583333333335,2864.810391787415,2848.0045978032376,88739.25
2019-01-18 11:35:00,2863.875,2753.71875,2799.0,2864.436235042671,2851.181195002181,91603.125
2019-01-18 11:40:00,2877.125,2907.65625,2858.9166666666665,2869.511741267968,2856.373246855569,94480.25
2019-01-18 11:45:00,3404.625,3048.96875,2920.5,3083.557050893431,2966.0792250240847,97884.875
2019-01-18 11:50:00,2865.875,3002.875,2928.597222222222,2996.484229039215,2946.0302471876553,100750.75
2019-01-18 11:55:00,3073.25,3055.21875,2895.472222222222,3027.1905377402472,2971.4824574645904,103824.0
2019-01-18 12:00:00,3192.5,3134.0625,2936.472222222222,3093.3143230533656,3015.697444838675,107016.5
2019-01-18 12:05:00,2697.875,2957.375,2984.972222222222,2935.1385932446824,2952.1197513006027,109714.375
2019-01-18 12:10:00,2883.125,2961.6875,2989.8333333333335,2914.333155900457,2938.318507915597,112597.5
2019-01-18 12:15:00,2867.0,2910.125,2969.472222222222,2895.399893514965,2924.0529101092793,115464.5
2019-01-18 12:20:00,3402.875,2962.71875,3029.3611111111113,3098.389936271787,3019.827512590056,118867.375
2019-01-18 12:25:00,2867.875,3005.21875,3028.3333333333335,3006.1839617186997,2989.434424514058,121735.25
2019-01-18 12:30:00,3398.625,3134.09375,3027.6666666666665,3163.160377076545,3071.278109603822,125133.875
2019-01-18 12:35:00,2869.875,3134.8125,3028.1111111111113,3045.8462262256035,3030.995294477989,128003.75
2019-01-18 12:40:00,2877.125,3003.375,3006.3194444444443,2978.357735728347,3000.2198951246974,130880.875
2019-01-18 12:45:00,2386.0,2882.90625,2916.7083333333335,2741.414641422231,2877.371635462669,133266.875
2019-01-18 12:50:00,5270.125,3350.78125,3202.5138888888887,3752.8987848911893,3355.935648787788,138537.0
2019-01-18 12:55:00,2917.375,3362.65625,3206.3194444444443,3418.68927092721,3268.2215629407515,141454.375
2019-01-18 13:00:00,2871.875,3361.34375,3206.8611111111113,3199.9635625533797,3188.950836115577,144326.25
2019-01-18 13:05:00,2872.625,3483.0,3147.9444444444443,3069.0281375309696,3125.684765928934,147198.875
2019-01-18 13:10:00,2874.125,2884.0,3148.6388888888887,2991.066882518204,3075.3722382756355,150073.0
2019-01-18 13:15:00,2871.125,2872.4375,3090.027777777778,2943.090129510783,3034.5224174825084,152944.125
