Timestamp,Utilization(bps),SMA4,SMA9,EMA4,EMA9,cum_sum
2019-01-18 08:55:00,105.0,105.0,105.0,105.0,105.0,105.0
2019-01-18 09:00:00,212.5,212.5,212.5,212.5,212.5,317.5
2019-01-18 09:05:00,105.0,105.0,105.0,105.0,105.0,422.5
2019-01-18 09:10:00,340.0,190.625,340.0,230.78124999999997,340.0,762.5
2019-01-18 09:15:00,142.5,200.0,142.5,192.4913254684247,142.5,905.0
2019-01-18 09:20:00,157.5,186.25,157.5,177.80981471535983,157.5,1062.5
2019-01-18 09:25:00,521.625,290.40625,521.625,319.2966136848482,521.625,1584.125
2019-01-18 09:30:00,163.25,246.21875,163.25,255.8116648527329,163.25,1747.375
2019-01-18 09:35:00,154.25,249.15625,211.29166666666666,214.77342803663106,221.49099324593237,1901.625
2019-01-18 09:40:00,398.5,309.40625,243.90277777777777,288.71112983095173,261.15128611758405,2300.125
2019-01-18 09:45:00,140.0,214.0,235.84722222222223,229.01008426284878,234.64407696576103,2440.125
2019-01-18 09:50:00,160.0,213.1875,241.95833333333334,201.34583150095852,218.61365968523106,2600.125
2019-01-18 09:55:00,353.0,262.875,243.40277777777777,262.0868308612623,247.05447828593176,2953.125
2019-01-18 10:00:00,213.0,216.5,251.23611111111111,242.4366998558512,239.93025601993233,3166.125
2019-01-18 10:05:00,300.0,256.5,267.06944444444446,265.4728511659591,252.38232297289392,3466.125
2019-01-18 10:10:00,343.0,302.25,247.22222222222223,296.4924616726281,271.03076536717725,3809.125
2019-01-18 10:15:00,140.0,249.0,244.63888888888889,233.8848796313782,244.220907974934,3949.125
2019-01-18 10:20:00,185.25,242.0625,248.08333333333334,214.42895183564303,232.21036364812832,4134.375
2019-01-18 10:25:00,347.375,253.90625,242.40277777777777,267.6106117776334,255.58008408409358,4481.75
2019-01-18 10:30:00,230.5,225.78125,252.45833333333334,252.7658243176304,250.5055620110386,4712.25
2019-01-18 10:35:00,230.0,248.28125,260.2361111111111,243.65929482109016,246.36627139147802,4942.25
2019-01-18 10:40:00,328.0,283.96875,257.4583333333333,277.3960209411915,262.8143827534988,5270.25
2019-01-18 10:45:00,210.0,249.625,257.125,250.43739966433498,252.18878373697902,5480.25
2019-01-18 10:50:00,250.5,254.625,251.625,250.46243991725126,251.8494244104741,5730.75
2019-01-18 10:55:00,157.5,236.5,231.01388888888889,213.27735823209247,232.9079807775398,5888.25
2019-01-18 11:00:00,122.5,185.125,229.06944444444446,176.96635299931523,210.75944477944492,6010.75
2019-01-18 11:05:00,390.5,230.25,251.875,262.37989921953107,246.79468368501378,6401.25
2019-01-18 11:10:00,270.0,235.125,243.27777777777777,265.4279414035038,251.44474146787726,6671.25
2019-01-18 11:15:00,262.5,261.375,246.83333333333334,264.2567644105744,253.6592199137196,6933.75
2019-01-18 11:25:00,426.125,337.28125,268.625,329.0040729602859,288.1951293160179,7359.875
2019-01-18 11:30:00,316.0,318.65625,267.2916666666667,323.80244308620473,293.7616162344419,7675.875
2019-01-18 11:35:00,276.75,320.34375,274.7083333333333,304.9814643538249,290.3565952519959,7952.625
2019-01-18 11:40:00,275.75,323.65625,277.5138888888889,293.28887805395095,287.4334234213339,8228.375
2019-01-18 11:45:00,262.5,282.75,289.18055555555554,280.9733264795155,282.44420890475647,8490.875
2019-01-18 11:50:00,154.25,242.3125,292.7083333333333,230.2839950163238,256.79496255339467,8645.125
2019-01-18 11:55:00,236.25,232.1875,275.56944444444446,232.67039703440864,252.68463616554126,8881.375
2019-01-18 12:00:00,122.5,193.875,259.18055555555554,188.60223794792256,226.640947604318,9003.875
2019-01-18 12:05:00,376.25,222.3125,271.81944444444446,263.6613430474625,256.5689738913293,9380.125
2019-01-18 12:10:00,223.25,239.5625,249.27777777777777,247.4968057924643,249.9040717162434,9603.375
2019-01-18 12:15:00,251.0,243.25,242.05555555555554,248.89808347735172,250.12328651163904,9854.375
2019-01-18 12:20:00,101.75,238.0625,222.61111111111111,190.038850039203,220.44547332289972,9956.125
2019-01-18 12:25:00,373.625,237.40625,233.48611111111111,263.47331005886065,251.08398509464593,10329.75
2019-01-18 12:30:00,776.625,375.75,290.6111111111111,468.7339860945829,356.19934185619644,11106.375
2019-01-18 12:35:00,721.625,493.40625,353.65277777777777,569.8903916742744,429.2884528346659,11828.0
2019-01-18 12:40:00,380.75,563.15625,369.7083333333333,494.2342349967005,419.5803394197569,12208.75
2019-01-18 12:45:00,0.0,469.75,356.09722222222223,296.54054098569065,335.66134738571384,12208.75
2019-01-18 12:50:00,247.75,337.53125,341.81944444444446,277.0243245906841,318.07858777276857,12456.5
2019-01-18 12:55:00,180.75,202.3125,337.09722222222223,238.51459475354585,290.61225769858635,12637.25
2019-01-18 13:00:00,230.5,164.75,334.81944444444446,235.30875685208431,278.58959166733973,12867.75
2019-01-18 13:05:00,101.75,190.1875,334.81944444444446,181.88525411081878,243.22116853886874,12969.5
2019-01-18 13:10:00,450.75,240.9375,343.3888888888889,289.43115246701285,284.72740874857953,13420.25
2019-01-18 13:15:00,125.5,227.125,271.0416666666667,223.8586914800169,252.88163610730825,13545.75
2019-01-18 13:20:00,276.75,238.6875,221.61111111111111,245.01521488804713,257.6553437697544,13822.5
2019-01-18 13:25:00,433.875,321.71875,227.51388888888889,320.5591289329074,292.8994810532609,14256.375
2019-01-18 13:30:00,414.875,312.75,273.6111111111111,358.28547735976815,317.2946989342915,14671.25
2019-01-18 13:35:00,174.75,325.0625,265.5,284.87128641583325,288.78565248242694,14846.0
